Slice	X	Y	AREA
766	115	22	139
767	115	22	136
768	115	22	135
769	115	22	132
770	115	22	134
771	114	21	127
772	114	21	130
773	114	21	132
774	115	21	140
775	119	23	101
775	122	33	41	f
776	120	34	147
777	122	45	155
778	124	51	194
779	121	53	169
780	122	63	171
781	123	78	170
782	123	85	164
783	117	89	169
784	112	89	161
785	103	91	141
786	97	91	135
787	84	92	142
788	75	93	175
789	74	91	147
790	74	91	167
791	74	91	163
792	74	90	160
793	60	91	161
794	53	92	176
795	54	92	179
796	55	91	163
797	50	86	171
798	50	86	158
799	51	85	161
800	49	85	134
801	48	85	107
802	48	85	122
803	53	87	132
804	53	89	162
805	53	89	162
806	54	90	155
807	55	89	150
808	54	87	154
809	58	84	175
810	65	77	174
811	69	69	132
812	69	68	118
813	69	69	124
814	69	67	104
815	68	67	128
816	68	67	131
817	68	67	113
818	69	67	105
819	69	53	97
820	69	48	136
821	69	38	142
822	68	37	130
823	66	28	162
824	61	23	160
825	61	22	148
826	61	22	154
827	61	22	155
828	61	22	155
829	61	22	150
830	61	22	155
831	61	22	152
832	63	22	144
833	63	23	138
834	63	23	134
835	64	24	99
836	65	24	107
837	65	22	140
838	59	21	141
839	55	18	95
840	55	18	99
841	41	18	117
842	34	20	106
843	34	20	89
844	34	20	NP
845	34	20	NP
846	34	20	NP
847	34	20	NP
848	34	20	NP
849	34	20	NP
850	34	20	NP
851	34	20	NP
852	34	20	NP
853	34	20	NP
854	17	34	58
855	19	36	77
856	21	49	153
857	21	54	168
858	22	59	162
859	21	70	166
860	21	74	173
861	22	75	169
862	21	74	159
863	21	73	143
864	20	73	156
865	20	75	157
866	20	85	165
867	18	88	158
868	17	89	168
869	16	90	177
870	15	91	141
871	15	91	135
872	18	85	145
873	19	84	148
874	25	86	139
875	31	87	78
875	41	86	54	f
876	42	85	84
876	32	87	50	f
877	38	86	137
878	39	86	142
879	41	86	63
879	32	87	56	f
880	41	86	59
880	32	87	52	f
881	41	86	64
881	32	87	57	f
882	42	86	58
882	32	87	51	f
883	42	87	65
883	32	87	44	f
884	45	87	144
885	57	84	172
886	65	79	169
887	67	79	160
888	69	81	171
889	74	81	184
890	78	84	182
891	83	85	175
892	83	87	166
893	82	86	156
894	84	85	155
895	84	85	166
896	84	85	167
897	83	85	167
898	84	85	168
899	84	86	165
900	83	87	164
901	81	86	143
902	82	85	135
903	81	89	125
904	78	85	163
905	71	80	168
906	69	80	164
907	68	82	164
908	70	82	155
909	66	84	179
910	52	89	157
911	51	90	163
912	50	89	164
913	50	88	162
914	50	87	159
915	50	88	152
916	50	88	152
917	50	89	167
918	51	89	159
919	52	90	146
920	53	90	154
921	55	91	161
922	55	89	166
923	55	88	173
924	55	89	167
925	53	89	142
926	53	89	146
927	56	91	161
928	56	91	160
929	61	86	163
930	65	74	169
931	66	65	81
931	67	54	43	f
932	62	50	62
932	67	53	45	f
933	65	38	139
934	64	32	153
935	60	22	167
936	59	20	140
937	54	18	56
937	45	17	30	f
938	40	19	123
939	39	20	124
940	37	19	135
941	32	17	90
942	31	17	84
943	32	17	89
944	32	18	69
945	33	18	71
946	30	17	105
947	30	17	116
948	28	15	117
949	31	17	129
950	31	17	131
951	31	17	128
952	32	18	95
953	32	17	78
954	18	33	32
955	17	36	85
956	17	40	136
957	17	42	141
958	17	42	142
959	17	42	144
960	17	42	143
961	17	41	140
962	17	41	139
963	17	41	139
964	17	41	137
965	17	41	139
966	17	41	138
967	16	41	141
968	16	42	155
969	16	43	164
970	17	42	141
971	17	42	143
972	17	42	144
973	17	42	141
974	17	42	143
975	17	42	138
976	17	42	137
977	17	42	135
978	17	42	140
979	16	42	144
980	16	42	147
981	16	42	149
982	17	42	146
983	17	42	146
984	17	41	137
985	18	40	138
986	18	41	142
987	18	40	135
988	18	40	141
989	18	41	144
990	18	40	141
991	18	40	137
992	18	40	139
993	18	40	138
994	17	40	134
